Axial Length in German Shepards (mm)
20.8
20.9
20.86
21.03
21.13
21.18
21.24
21.24
21.35
21.35
21.35
21.48
21.48
21.48
21.51
21.51
21.52
21.52
21.52
21.63
21.62
21.63
21.63
21.68
21.68
21.68
21.68
21.7
21.7
21.7
21.7
21.8
21.9
21.9
21.9
21.9
21.9
21.9
21.8
21.8
21.8
22.02
22.01
22.02
22.02
22.01
22.14
22.14
22.14
22.27
22.27
22.26
22.27
22.25
22.27
22.26
22.38
22.36
22.49
22.48
22.48
22.52
22.53
22.67
22.64
22.69
22.71
22.7
22.97
22.93
22.99
23.04
23.38
