Axial Length in wild-type Zebra Fish (mm)
0.24
0.24
0.25
0.254
0.253
0.255
0.248
0.346
0.346
0.325
0.285
0.35
0.73
0.734
0.76
0.79
0.88
0.82
0.92
0.94
0.803
0.978
1.04
1.2
1.13
1.233
1.04
1.203
1.442
1.93
1.883
